pristine condition,完好的狀態
grow and thrive,茁壯繁榮
bean sprout,豆芽
germinate,發芽
stance,觀點，立場
dwell in,棲息於
devour,(vt.)吞食
social hierarchy,社會等級
wreak,v.造成（惡果）
infuriate,v. 激怒
relentlessly,無情地
relent,v. 動憐憫心
disguise,(v.8)掩飾,偽裝
tame,(v.4)馴服
pry,v.窺探
pry into other people's affairs,窺探他人隱私
deem,(v.4) 認為
government expenditure,政府開支
transportation sector,交通部門
substantially,(ad.)實質上
trams,輕軌
urgent,緊急的
take measures in tackling this crisis,採取措施解決危機
imperil,(v.7)使陷入危險
secular music,世俗音樂
adornment,(n.) 裝飾
obscure,make something hard to see or heard
prosperous,繁榮的
settled society,穩定的社會
side hustle,副業
embrace old customs,擁抱舊習俗
motif,(n.)中心思想
motif,a pattern or design
utilitarian,實用的
dynasty,朝代
porcelain,(n.9)瓷
instigate unrests,煽動騷亂
unrest,n.動盪
attic,閣樓
evolve from,be inspired by
peace accord,和平協議
the society accords respect to,社會給予...尊重
discern authenticity,分辨真假
perception,(n.) 認知
con artist,(n.) 騙子
fraud,(n.5) 詐欺
be vigilant of,be aware of
proliferation,(n.) 增殖
impart knowledge,傳授知識
entice,(vt.)引誘
enticing,(a.)迷人的
pedagogical approaches,teaching methods
pedagogy,(n.) 教育學
cater needs,迎合需求
essence,(n.) 精華
present-day,(a.)現在的
relevant,有關的
guidance,(n.)指導
